fn,cx,cy,cz
fn89,0.592010,0.038561,3.970658
fn9,0.636615,-1.354944,4.054679
fn90,0.283742,0.347189,4.009937
fn91,0.769546,-1.190330,3.649907
fn92,-3.308184,0.443499,6.871858
fn93,0.576356,0.111716,5.945347
fn94,1.029658,0.472987,2.100284
fn95,0.673113,-0.342010,1.388797
fn96,-2.749791,0.035008,2.918281
fn97,0.237379,-0.125829,2.087498
fn98,0.767550,0.835726,2.762368
fn99,-0.487882,-0.829778,4.439166
